"","Tm","Int2020","Int2021","team_color","team_color2","team_logo_espn"
"1","Buffalo Bills",15,19,"#00338D","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png"
"2","New England Patriots",18,23,"#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png"
"3","Denver Broncos",10,13,"#002244","#FB4F14","https://a.espncdn.com/i/teamlogos/nfl/500/den.png"
"4","New Orleans Saints",18,18,"#D3BC8D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/no.png"
"5","Tampa Bay Buccaneers",15,17,"#A71930","#322F2B","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png"
"6","Tennessee Titans",15,16,"#002244","#4B92DB","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png"
"7","Dallas Cowboys",10,26,"#002244","#B0B7BC","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png"
"8","Kansas City Chiefs",16,15,"#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png"
"9","San Francisco 49ers",12,9,"#AA0000","#B3995D","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png"
"10","Indianapolis Colts",15,19,"#002C5F","#a5acaf","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png"
"11","Arizona Cardinals",11,13,"#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png"
"12","Seattle Seahawks",14,11,"#002244","#69be28","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png"
"13","Green Bay Packers",11,18,"#203731","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png"
"14","Cleveland Browns",11,13,"#FF3C00","#311D00","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png"
"15","Los Angeles Rams",14,19,"#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png"
"16","Los Angeles Rams",14,19,"#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png"
"17","Miami Dolphins",18,14,"#008E97","#F58220","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png"
"18","Cincinnati Bengals",11,13,"#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png"
"19","Philadelphia Eagles",8,12,"#004C54","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png"
"20","Baltimore Ravens",10,9,"#241773","#9E7C0C","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png"
"21","Pittsburgh Steelers",17,13,"#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png"
"22","Carolina Panthers",7,9,"#0085CA","#000000","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png"
"23","Chicago Bears",10,8,"#0B162A","#C83803","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png"
"24","New York Giants",11,15,"#0B2265","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png"
"25","Minnesota Vikings",15,16,"#4F2683","#FFC62F","https://a.espncdn.com/i/teamlogos/nfl/500/min.png"
"26","Washington Commanders",16,11,"#5A1414","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png"
"27","Las Vegas Raiders",10,6,"#000000","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png"
"28","Houston Texans",3,17,"#03202F","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png"
"29","Jacksonville Jaguars",12,7,"#006778","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png"
"30","Atlanta Falcons",12,12,"#A71930","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png"
"31","Los Angeles Chargers",12,11,"#007BC7","#ffc20e","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png"
"32","Detroit Lions",7,11,"#0076B6","#B0B7BC","https://a.espncdn.com/i/teamlogos/nfl/500/det.png"
"33","New York Jets",10,7,"#003F2D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png"
