Player,Tm,Age,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,1D,Lng,Rate,QBR
Tom Brady ,TAM,44,17,17,485,719,67.5,5316,43,12,269,62,102.1,68.1
Justin Herbert ,LAC,23,17,17,443,672,65.9,5014,38,15,256,72,97.7,65.6
Patrick Mahomes ,KAN,26,17,17,436,658,66.3,4839,37,13,260,75,98.5,62.2
Derek Carr,LVR,30,17,17,428,626,68.4,4804,23,14,217,61,94.0,52.4
Dak Prescott,DAL,28,16,16,410,596,68.8,4449,37,10,227,51,104.2,54.6
Josh Allen,BUF,25,17,17,409,646,63.3,4407,36,15,234,61,92.2,60.7
Matthew Stafford,LAR,33,17,17,404,601,67.2,4886,41,17,233,79,102.9,63.8
Ben Roethlisberger,PIT,39,16,16,390,605,64.5,3740,22,10,188,59,86.8,35.6
Matt Ryan,ATL,36,17,17,375,560,67,3968,20,12,195,64,90.4,46.1
Kirk Cousins ,MIN,33,16,16,372,561,66.3,4221,33,7,192,64,103.1,52.3
Joe Burrow,CIN,25,16,16,366,520,70.4,4611,34,14,202,82,108.3,54.3
Aaron Rodgers   ,GNB,38,16,16,366,531,68.9,4115,37,4,213,75,111.9,69.1
Trevor Lawrence,JAX,22,17,17,359,602,59.6,3641,12,17,177,58,71.9,33.5
Ryan Tannehill,TEN,33,17,17,357,531,67.2,3734,21,14,192,57,89.6,55.9
Mac Jones ,NWE,23,17,17,352,521,67.6,3801,22,13,177,75,92.5,50.9
Kyler Murray ,ARI,24,14,14,333,481,69.2,3787,24,10,172,77,100.6,57.3
Jared Goff,DET,27,14,14,332,494,67.2,3245,19,8,162,63,91.5,39.5
Carson Wentz,IND,29,17,17,322,516,62.4,3563,27,7,165,76,94.6,54.7
Taylor Heinicke,WAS,28,16,15,321,494,65,3419,20,15,167,73,85.9,39.9
Jimmy Garoppolo,SFO,30,15,15,301,441,68.3,3810,20,12,172,83,98.7,53.3
Teddy Bridgewater,DEN,29,14,14,285,426,66.9,3052,18,7,146,64,94.9,47.4
Jalen Hurts,PHI,23,15,15,265,432,61.3,3144,16,9,143,91,87.2,48.5
Davis Mills,HOU,23,13,11,263,394,66.8,2664,16,10,118,67,88.8,35.5
Tua Tagovailoa,MIA,23,13,12,263,388,67.8,2653,16,10,137,65,90.1,49.7
Russell Wilson ,SEA,33,14,14,259,400,64.8,3113,25,6,135,69,103.1,54.7
Baker Mayfield,CLE,26,14,14,253,418,60.5,3010,17,13,143,71,83.1,35.1
Lamar Jackson ,BAL,24,12,12,246,382,64.4,2882,16,13,135,49,87.0,50.7
Sam Darnold,CAR,24,12,11,243,406,59.9,2527,9,13,123,63,71.9,33.2
Daniel Jones,NYG,24,11,11,232,361,64.3,2428,10,7,116,54,84.8,41.5
Zach Wilson,NYJ,22,13,13,213,383,55.6,2334,9,11,112,54,69.7,28.2
Justin Fields,CHI,22,12,10,159,270,58.9,1870,7,10,83,64,73.2,26.4
Andy Dalton,CHI,34,8,6,149,236,63.1,1515,8,9,83,60,76.9,33.6
Jacoby Brissett,MIA,29,11,5,141,225,62.7,1283,5,4,69,52,78.1,48.2
Tyler Huntley,BAL,23,7,4,122,188,64.9,1081,3,4,55,43,76.6,49.0
Trevor Siemian,NOR,30,6,4,108,188,57.4,1154,11,3,61,46,88.4,35.5
Jameis Winston,NOR,27,7,7,95,161,59,1170,14,3,56,72,102.8,64.4
Tyrod Taylor,HOU,32,6,6,91,150,60.7,966,5,5,44,52,76.7,40.4
Mike Glennon,NYG,32,6,4,90,167,53.9,790,4,10,43,60,49.7,11.9
Mike White,NYJ,26,4,3,88,132,66.7,953,5,8,49,28,75.1,50.5
Taysom Hill,NOR,31,12,9,78,134,58.2,978,4,5,43,70,75.4,42.5
