Tm,Att2020,Yds2020,TD2020,Att2021,Yds2021,TD2021
Green Bay Packers,443,2118,16,446,1900,13
Buffalo Bills,411,1723,16,461,2209,20
Tampa Bay Buccaneers,369,1519,16,385,1672,18
Tennessee Titans,521,2690,26,551,2404,23
New Orleans Saints,494,2265,30,510,1991,12
Kansas City Chiefs,403,1799,13,431,1955,16
Baltimore Ravens,555,3071,24,517,2479,18
Seattle Seahawks,411,1971,15,413,2074,18
Indianapolis Colts,459,1996,20,499,2540,22
Las Vegas Raiders,457,1916,20,414,1617,14
Minnesota Vikings,468,2283,20,449,1930,10
Pittsburgh Steelers,373,1351,12,411,1583,10
Arizona Cardinals,479,2237,22,496,2076,23
Cleveland Browns,495,2374,21,485,2471,20
Miami Dolphins,428,1688,15,442,1568,12
Atlanta Falcons,409,1532,13,393,1451,11
Dallas Cowboys,430,1788,14,473,2119,15
Houston Texans,344,1466,10,420,1422,8
Los Angeles Chargers,466,1784,12,423,1834,18
Detroit Lions,367,1499,17,427,1886,12
San Francisco 49ers,437,1889,19,499,2166,22
Los Angeles Rams,473,2018,19,420,1683,10
Chicago Bears,393,1647,12,475,2018,14
Carolina Panthers,407,1704,19,455,1842,17
Washington Football Team,400,1611,18,477,2061,13
Philadelphia Eagles,403,2027,16,550,2715,25
New England Patriots,502,2346,20,489,2151,24
Denver Broncos,442,1918,13,455,2025,16
Cincinnati Bengals,411,1668,13,436,1742,16
Jacksonville Jaguars,337,1519,9,392,1755,13
New York Giants,399,1768,13,419,1688,8
New York Jets,406,1683,9,380,1667,14
